name,sku,description,category,brand,unit,price,discount,discount_type,purchase_price,quantity,expire_date,status
Gulab Jamun (1kg),GJ-001,Premium rose-flavored milk balls in sugar syrup,Sweets,Mithai House,kg,450,10,percent,350,50,12-31-26,1
Rasgulla (500g),RG-001,Soft spongy cottage cheese balls,Sweets,Mithai House,pcs,280,0,fixed,200,40,06-30-26,1
Kaju Katli (250g),KK-001,Diamond-shaped cashew fudge,Dry Sweets,Premium Sweets,gm,550,5,percent,450,30,09-15-26,1
Barfi Mix (500g),BM-001,Assorted milk barfi collection,Sweets,Mithai House,gm,380,0,fixed,280,25,08-20-26,1
Jalebi (250g),JL-001,Crispy spiral-shaped sweet,Fresh,Local Halwai,gm,180,0,fixed,120,60,03-15-26,1
Laddu Besan (1kg),LB-001,Traditional gram flour laddu,Sweets,Mithai House,kg,400,15,percent,300,35,10-30-26,1
Peda (500g),PD-001,Soft khoya-based sweet,Sweets,Premium Sweets,gm,320,0,fixed,240,45,07-25-26,1
Soan Papdi (400g),SP-001,Flaky layered sweet,Dry Sweets,Mithai House,gm,220,10,fixed,150,55,01-15-27,1
Milk Cake (1kg),MC-001,Dense caramelized milk sweet,Sweets,Local Halwai,kg,480,0,fixed,380,20,05-10-26,1
Kalakand (500g),KL-001,Grainy milk cake sweet,Sweets,Premium Sweets,gm,350,5,percent,270,40,04-20-26,1
